model_type,config_name,dataset,horizon,backcast_length,n_stacks,n_blocks_per_stack,run,seed,mse,mae,denorm_mse,denorm_mae,smape,n_params,training_time_seconds,epochs_trained,stopping_reason,best_val_loss,loss_function,active_g,normalize,train_ratio,val_ratio,include_target,stack_types,n_pools_kernel_size,n_freq_downsample
NHiTSNet,Pool-2x2x1_Freq-168x24x1,weather,336,1680,3,1,1,2,0.327659,0.354885,5633.155762,20.491583,83.911186,5986304,871.37,32,EARLY_STOPPED,0.50043291,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[168, 24, 1]"
NHiTSNet,Pool-2x2x1_Freq-24x12x1,weather,336,1680,3,1,0,1,0.3329,0.360823,4777.151855,20.367395,85.111595,5999616,735.22,27,EARLY_STOPPED,0.4924719,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[24, 12, 1]"
NHiTSNet,Pool-2x2x1_Freq-24x12x1,weather,336,1680,3,1,1,2,0.327435,0.356798,5032.32959,21.263802,85.585716,5999616,713.02,27,EARLY_STOPPED,0.49781114,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[24, 12, 1]"
NHiTSNet,Pool-2x2x1_Freq-1x1x1,weather,336,1680,3,1,0,1,0.329922,0.355224,5254.913086,20.26799,83.953705,6322176,811.62,31,EARLY_STOPPED,0.5014478,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[1, 1, 1]"
NHiTSNet,Pool-2x2x1_Freq-1x1x1,weather,336,1680,3,1,1,2,0.325612,0.355914,4875.049316,21.008402,85.903725,6322176,702.5,26,EARLY_STOPPED,0.50780076,MSELoss,False,True,0.7,0.1,True,['Generic'],"[2, 2, 1]","[1, 1, 1]"
NHiTSNet,Pool-4x2x1_Freq-168x24x1,weather,720,3600,3,1,0,1,0.409666,0.415168,7497.283691,26.956663,96.74897,9202688,790.89,29,EARLY_STOPPED,0.75654358,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[168, 24, 1]"
NHiTSNet,Pool-4x2x1_Freq-24x12x1,weather,720,3600,3,1,0,1,0.402675,0.408731,7736.621094,27.32416,95.546982,9231360,665.57,26,EARLY_STOPPED,0.78056616,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[24, 12, 1]"
NHiTSNet,Pool-4x2x1_Freq-168x24x1,weather,720,3600,3,1,1,2,0.421175,0.417703,9561.422852,28.454479,98.863541,9202688,1727.03,64,EARLY_STOPPED,0.76205206,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[168, 24, 1]"
NHiTSNet,Pool-4x2x1_Freq-24x12x1,weather,720,3600,3,1,1,2,0.396688,0.405987,8087.706055,26.689907,96.118149,9231360,1115.32,41,EARLY_STOPPED,0.74722409,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[24, 12, 1]"
NHiTSNet,Pool-4x2x1_Freq-1x1x1,weather,720,3600,3,1,0,1,0.450988,0.423177,7878.123047,27.807508,98.72924,9922560,734.33,27,EARLY_STOPPED,0.75633758,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[1, 1, 1]"
NHiTSNet,Pool-4x2x1_Freq-1x1x1,weather,720,3600,3,1,1,2,0.42853,0.425366,7842.955566,27.428347,97.974594,9922560,729.61,27,EARLY_STOPPED,0.74410117,MSELoss,False,True,0.7,0.1,True,['Generic'],"[4, 2, 1]","[1, 1, 1]"
